goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertOverCapacity/50000-10        	 6786210	       176.4 ns/op	   6786210 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6692748	       179.9 ns/op	   6692748 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6775832	       178.2 ns/op	   6775832 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6629203	       179.3 ns/op	   6629203 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6714391	       179.7 ns/op	   6714391 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6644264	       180.4 ns/op	   6644264 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6796057	       177.3 ns/op	   6796057 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6622045	       181.8 ns/op	   6622045 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6782349	       176.7 ns/op	   6782349 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6779913	       179.2 ns/op	   6779913 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6078796	       175.4 ns/op	   6078796 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6375429	       176.6 ns/op	   6375429 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6357794	       178.6 ns/op	   6357794 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6629144	       177.7 ns/op	   6629144 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6637272	       179.0 ns/op	   6637272 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6628843	       192.6 ns/op	   6628843 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6600870	       197.8 ns/op	   6600870 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 5439801	       188.2 ns/op	   5439801 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 5459800	       187.0 ns/op	   5459800 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 5648894	       197.4 ns/op	   5648894 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6557722	       184.0 ns/op	   6557722 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6667627	       180.4 ns/op	   6667627 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6298926	       176.9 ns/op	   6298926 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6523598	       178.5 ns/op	   6523598 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 5284435	       197.6 ns/op	   5284435 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6081650	       179.8 ns/op	   6081650 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6586429	       182.3 ns/op	   6586429 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6428554	       185.3 ns/op	   6428554 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
